@relation MaxOscillationDataset

@attribute generation numeric
@attribute selfDestDist numeric
@attribute selfDestAngle numeric
@attribute headOnSelected numeric
@attribute headOnOffset numeric
@attribute headOnIsRightSide numeric
@attribute headOnSpeed numeric
@attribute crossingSelected numeric
@attribute crossingEncounterAngle numeric
@attribute crossingIsRightSide numeric
@attribute crossingSpeed numeric
@attribute tailApproachSelected numeric
@attribute tailApproachOffset numeric
@attribute tailApproachIsRightSide numeric
@attribute tailApproachSpeed numeric
@attribute fitness numeric
@attribute accident numeric

@data
0,63.438123,-0.898047,0.2865,2.369696,0.351915,1.58792,-1,-0.025396,-0.730621,1.843555,-1,4.661593,-0.128344,2.075389,0.327119,1
0,67.20613,-2.988286,0.439386,0.697039,-0.353678,2.010271,-1,2.768626,0.067838,1.848326,-1,0.660724,-0.129409,2.235134,0.179401,0
0,54.386509,-0.292239,0.449123,0.539087,-0.08673,1.308075,-1,1.890004,-0.853836,1.325139,-1,4.02961,-0.823988,2.190958,0.439884,1
0,64.545296,1.714729,0.268295,0.095501,0.994625,1.514741,-1,-2.206005,0.981185,1.661214,-1,2.947697,0.864111,2.029712,0.296015,1
0,41.71858,-2.832975,0.583571,1.606312,0.700688,2.260928,-1,2.364453,-0.351878,1.242595,-1,0.518491,-0.050583,2.356718,0.56581,1
0,55.514319,-2.437148,0.279785,3.275641,-0.778488,1.011313,-1,2.392047,0.789338,1.998461,-1,0.43545,0.624492,2.028752,0.042443,0
0,50.848535,1.463779,-0.240462,1.590579,0.961711,2.184861,-1,2.944818,-0.566274,2.129223,-1,4.597694,0.030813,2.227162,0,0
0,49.034694,0.282008,-0.144739,4.964233,0.925834,2.034347,-1,-2.326564,-0.397191,1.973077,-1,4.211131,-0.343899,2.225156,0,0
0,60.234502,3.058244,-0.599251,1.507204,-0.252108,1.703799,-1,-2.517323,0.276149,2.128674,-1,3.892381,0.832072,2.259782,0,0
0,53.127281,0.636088,0.339833,3.989515,0.578306,2.035797,-1,-2.974712,-0.019847,2.486712,-1,2.818605,-0.812221,2.308901,0.079873,0
0,64.127762,-1.08575,-0.400894,0.906532,0.974316,1.196674,-1,-0.076032,0.587072,1.349834,-1,2.63525,0.392304,2.20043,0,0
0,49.696664,-2.3487,0.887461,0.879952,-0.867206,2.24793,-1,2.401275,-0.749041,2.293297,-1,2.215651,-0.597005,2.41741,0.224289,0
0,60.377065,0.751742,0.864072,3.175859,-0.88651,1.65961,-1,1.233536,-0.459594,2.08296,-1,0.04913,0.758192,2.368161,0.055067,0
0,45.570726,-0.515431,-0.495587,1.553723,-0.569522,1.580439,-1,1.308215,-0.726412,1.384178,-1,1.652231,0.995353,2.056257,0,0
0,59.249046,1.844749,0.819155,0.948125,-0.514979,1.076596,-1,-2.371123,-0.134311,2.41033,-1,3.128642,0.484787,2.000896,0.294639,1
0,48.153711,1.012139,0.480001,1.090871,0.49672,1.832398,-1,-2.528262,0.739629,1.183443,-1,4.233521,0.307688,2.493354,0.584138,1
0,63.102511,0.967528,0.437784,2.547952,-0.16767,1.99526,-1,2.402729,0.659786,1.855187,-1,0.468853,-0.012493,2.377112,0.110097,0
0,67.716058,-0.076458,-0.249705,4.050155,-0.28019,1.540487,-1,0.241522,-0.455504,1.709324,-1,0.909668,-0.315296,2.096687,0,0
0,46.758684,-0.202991,0.655368,2.232182,0.135627,1.327922,-1,2.577279,-0.241728,1.797651,-1,3.995988,0.822345,2.443835,0.058084,0
0,48.823221,0.955279,-0.695662,4.253473,0.163699,2.207649,-1,0.411743,0.983046,2.08474,-1,3.11481,-0.128435,2.215805,0,0
0,64.813517,2.062714,0.970668,1.385778,-0.651041,2.493312,-1,0.414428,0.364095,2.082897,-1,3.372719,-0.608998,2.003192,0.105328,0
0,48.521916,-1.694886,0.099168,3.825588,0.107543,1.245079,-1,-0.805117,0.616606,1.782759,-1,0.319791,0.674121,2.433512,0.083104,0
0,58.46391,-0.863507,-0.548955,0.026753,-0.173576,2.139785,-1,-1.797986,-0.168346,1.142761,-1,3.208482,0.579968,2.005166,0,0
0,66.919006,-0.106052,0.906212,1.407402,0.279689,1.107846,-1,-0.059453,-0.216804,1.789802,-1,1.202375,0.111519,2.109448,0.088722,0
0,67.064595,0.864195,-0.788473,2.589614,-0.318862,2.347769,-1,-1.523072,0.670543,2.407243,-1,4.277593,-0.810629,2.170956,0,0
0,46.597272,-0.517762,0.397426,2.334734,0.948259,2.116402,-1,2.800183,0.866542,1.675257,-1,1.66673,-0.23974,2.175475,0.146484,0
0,65.500339,-1.648841,0.976328,3.33958,-0.753934,1.16494,-1,-0.329496,-0.575548,2.476649,-1,2.626141,-0.173301,2.473195,0.033345,0
0,47.563633,3.116183,0.992751,0.530499,-0.379386,2.354813,-1,1.439054,-0.344595,2.302073,-1,2.608823,0.181011,2.028459,0.205081,0
0,47.041199,-0.25964,-0.093626,0.913765,0.628719,1.337017,-1,-1.064694,-0.744397,2.110984,-1,1.131492,-0.943506,2.198496,0,0
0,69.349916,0.976668,-0.255487,3.724464,-0.228771,2.099886,-1,2.40047,0.219778,1.606479,-1,2.681388,0.635863,2.149401,0,0
